               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.045264,            0.027638,            0.021753,             0.52337,              0.1674,              0.1678,            0.064671,             0.06176,            0.016628,            0.051147,             0.00388,             0.00388,             0.00388
                  70,            0.047199,            0.028018,            0.020704,             0.57865,             0.20458,             0.21489,            0.089757,            0.059629,            0.018128,            0.035214,             0.00379,             0.00379,             0.00379
                  71,            0.043881,            0.028256,            0.023037,             0.54221,             0.21298,             0.20311,            0.080206,            0.056809,            0.017814,            0.042891,              0.0037,              0.0037,              0.0037
                  72,            0.042205,            0.027232,            0.025352,             0.63151,             0.20024,             0.23246,             0.10903,             0.06208,            0.016542,             0.03595,             0.00361,             0.00361,             0.00361
                  73,             0.04219,            0.026515,            0.019481,             0.49377,             0.20452,             0.22569,             0.10167,            0.058332,            0.016557,            0.034557,             0.00352,             0.00352,             0.00352
                  74,            0.044356,            0.027094,            0.018105,             0.60176,             0.20414,             0.20875,            0.084211,            0.056459,            0.017738,            0.037398,             0.00343,             0.00343,             0.00343
                  75,            0.042744,            0.026028,              0.0189,             0.41605,             0.23872,             0.20289,            0.063322,            0.060016,            0.016685,            0.035198,             0.00334,             0.00334,             0.00334
                  76,             0.04427,            0.026861,            0.023492,             0.47916,              0.2001,             0.21991,            0.076747,            0.060383,            0.018214,            0.035202,             0.00325,             0.00325,             0.00325
                  77,            0.042812,            0.026238,            0.020318,             0.57125,             0.19591,             0.21186,            0.090599,            0.058553,            0.019765,            0.039696,             0.00316,             0.00316,             0.00316
                  78,            0.043784,            0.029851,            0.019315,             0.41587,             0.22478,             0.21763,             0.11169,            0.057631,            0.017123,            0.047712,             0.00307,             0.00307,             0.00307
                  79,             0.04408,            0.028014,            0.017754,             0.48403,             0.23945,             0.21257,            0.076804,            0.057338,            0.016547,            0.038226,             0.00298,             0.00298,             0.00298
                  80,            0.041027,            0.025781,            0.022788,             0.63637,             0.22975,             0.24531,             0.11288,            0.056695,            0.017877,            0.034104,             0.00289,             0.00289,             0.00289
                  81,            0.041303,            0.027327,            0.017056,             0.57518,             0.21229,             0.21197,             0.10099,            0.057999,            0.018254,            0.038085,              0.0028,              0.0028,              0.0028
                  82,            0.041768,            0.028223,            0.017742,             0.52491,              0.2319,             0.23192,             0.10547,            0.053289,            0.017974,            0.037766,             0.00271,             0.00271,             0.00271
                  83,            0.041676,            0.027411,            0.020183,             0.52097,             0.18704,             0.21873,             0.10352,            0.054939,            0.018002,             0.03666,             0.00262,             0.00262,             0.00262
                  84,            0.039416,            0.024399,            0.016185,             0.42581,             0.19039,              0.1874,            0.087238,            0.060939,            0.017984,            0.042012,             0.00253,             0.00253,             0.00253
                  85,            0.041347,            0.026921,             0.01481,             0.62257,             0.19583,             0.22683,             0.12313,             0.06033,            0.018228,            0.041588,             0.00244,             0.00244,             0.00244
                  86,            0.040457,             0.02579,            0.015573,             0.52149,             0.25725,             0.23972,             0.10248,            0.056447,            0.018323,            0.039119,             0.00235,             0.00235,             0.00235
                  87,            0.040543,            0.027577,            0.014758,             0.47631,              0.2656,             0.24067,             0.10797,            0.058913,            0.017268,            0.039309,             0.00226,             0.00226,             0.00226
                  88,            0.042567,            0.025836,             0.01883,             0.54788,             0.23337,             0.26256,             0.12404,            0.055519,            0.019124,            0.039453,             0.00217,             0.00217,             0.00217
                  89,            0.041563,            0.028754,            0.019262,             0.57167,             0.23005,             0.23319,            0.099634,            0.059025,            0.017707,            0.041968,             0.00208,             0.00208,             0.00208
                  90,            0.040064,            0.027201,            0.015667,             0.64415,             0.22963,             0.24932,             0.10399,             0.05743,            0.017344,            0.033221,             0.00199,             0.00199,             0.00199
                  91,            0.039006,            0.027034,            0.017067,              0.5022,             0.27023,             0.23419,             0.10643,            0.058739,            0.016933,            0.037596,              0.0019,              0.0019,              0.0019
                  92,            0.039327,            0.025938,            0.018551,             0.60746,             0.25422,             0.26532,             0.13083,            0.058363,            0.016886,             0.04033,             0.00181,             0.00181,             0.00181
                  93,            0.038219,            0.024814,            0.012798,             0.62616,             0.24298,             0.25929,              0.1153,            0.056742,            0.017372,            0.037157,             0.00172,             0.00172,             0.00172
                  94,             0.03868,            0.026321,              0.0134,             0.58988,             0.22847,              0.2599,             0.12019,            0.057233,            0.017316,            0.036216,             0.00163,             0.00163,             0.00163
                  95,            0.038345,            0.026462,            0.016407,             0.50438,             0.22897,             0.24925,             0.12911,            0.054753,            0.018433,            0.038344,             0.00154,             0.00154,             0.00154
                  96,            0.038286,            0.025126,            0.017872,             0.61659,             0.20959,             0.23906,             0.11246,            0.056226,            0.018938,            0.036892,             0.00145,             0.00145,             0.00145
                  97,            0.038669,            0.027318,            0.016807,             0.64339,             0.20343,             0.23502,            0.092656,            0.056629,             0.01931,            0.036943,             0.00136,             0.00136,             0.00136
                  98,            0.039437,            0.024547,            0.013088,             0.53114,             0.28056,             0.27242,             0.12156,            0.057431,             0.01789,            0.034394,             0.00127,             0.00127,             0.00127
                  99,            0.039677,            0.024366,            0.012525,             0.52376,             0.25249,              0.2657,             0.13373,            0.056476,            0.018099,             0.03508,             0.00118,             0.00118,             0.00118
